Diagonisis Code,Disease,Description,Common Symptomps,Medicine,Doctor,Doctor's Number,Doctor's Address
46123-027,Rosaceae,"Adverse effect of unspecified anesthetic, sequela",Abn react-artif implant,Helium-Oxygen-Nitrogen Mixture,Dani Dobinson,(948) 1094940,48 Oriole Drive
41250-647,Fabaceae,Byssinosis,Angio stm/dudn w/o hmrhg,ibuprofen,Carol Larkworthy,(594) 5093813,41942 Vahlen Drive
68599-2303,Scrophulariaceae,"Disorder of continuity of bone, unspecified",Urethr strict:infect NOS,Roll On Anti-Perspirant (Alcohol Free),Kerrill Cossor,(764) 3285002,0 Buhler Hill
0378-4251,Portulacaceae,"Sprain of left acromioclavicular joint, sequela",Acq esophag diverticulum,Lamotrigine,Vikki Meekin,(326) 3707579,7903 Anniversary Park
54868-3134,Hydrophyllaceae,"Displaced fracture of body of unspecified calcaneus, initial encounter for open fracture",Osteoarthro NOS-oth site,Marcaine,Lilla Philippet,(617) 4329422,9040 Claremont Drive
69152-0110,Orchidaceae,"Other juvenile osteochondrosis, left upper limb",Disorders of lens NEC,Alpan 40 (Number 110),Annamarie Warcup,(670) 8357291,755 Melody Terrace
53145-055,Caryophyllaceae,"Poisoning by anticholinesterase agents, intentional self-harm, subsequent encounter",Prim spont pneumothorax,Bismutina,Lucy Robbey,(618) 1261184,02968 Waxwing Hill
64092-845,Fabaceae,"Motion sickness, sequela",Foundling health care,Non-Drowsy Sinus Daytime,Sibylla Playhill,(366) 8176714,6546 Bluestem Court
0009-0085,Crassulaceae,"Unspecified pre-existing hypertension complicating pregnancy, third trimester",Other specfd counseling,Depo-Testosterone,Joceline Robardey,(415) 8116835,3273 Clyde Gallagher Pass
42926-162,Rubiaceae,"Pathological fracture, left finger(s), subsequent encounter for fracture with nonunion",Biliuria,Clementine Hand Sanitizer,Sher Jarman,(646) 7443727,47291 Springview Pass
65517-0026,Rosaceae,Abnormal levels of other serum enzymes,Recur bilat femoral hern,Alcohol,Florian Benes,(560) 8633933,71119 Welch Road
52125-239,Arthopyreniaceae,"Activity, boxing",Expsure keratoconjunctiv,mupirocin,Redd Menloe,(292) 7882500,3 Eastwood Center
63739-486,Polygonaceae,"Laceration with foreign body of left middle finger with damage to nail, initial encounter",Natrl family plan counsl,HydrOXYzine Hydrochloride,Rica Wetheril,(682) 1571541,594 Burrows Way
54838-125,Droseraceae,"Salter-Harris Type III physeal fracture of upper end of radius, right arm, subsequent encounter for fracture with malunion",Cystourethrocele,Brotapp,Phaedra Usherwood,(403) 8025639,8 Crowley Hill
41163-944,Asteraceae,"Other synovitis and tenosynovitis, unspecified site","Aortic ectasia, site NOS",Equaline Hemorrhoidal,Sonny Twyning,(405) 7026643,53946 Saint Paul Way
35000-810,Asteraceae,"Dislocation of other carpometacarpal joint of left hand, initial encounter",Lat dislocat elbow-open,SOFTSOAP,Alexis D'Ambrogi,(326) 6937321,32224 Onsgard Center
68258-7156,Ericaceae,"Osteochondropathy, unspecified, left forearm",Inj mlt head/neck vessel,TOPIRAMATE,Darill Folley,(264) 8152175,92831 Bay Park
64763-099,Amaranthaceae,Pulmonary anthrax,Epidemic pleurodynia,OXYGEN,Troy Gyles,(169) 7490487,80 Dennis Crossing
51293-606,Caryophyllaceae,"Contusion of right ankle, subsequent encounter",Hand injury NOS,ISOXSUPRINE HYDROCHLORIDE,Shermy Klain,(408) 5208077,7 Colorado Center
0615-7506,Brassicaceae,Subluxation and dislocation of toe,Idiopathic osteoporosis,Risperidone,Ardella Paty,(115) 6221050,7883 Johnson Street
76237-137,Ranunculaceae,Puncture wound without foreign body of left cheek and temporomandibular area,Thoracic spondylosis,Citalopram,Andrew Rowles,(737) 1163886,9 Orin Place
65841-685,Alismataceae,Unspecified superficial injury of lip,Foreign body in nose,Lamotrigine,Janis Blaze,(612) 2068164,4 Parkside Plaza
52125-488,Fabaceae,Puncture wound with foreign body of unspecified part of neck,Cryst arthrop NOS-pelvis,Triamcinolone Acetonide,Gerri Ludlow,(923) 2629940,34 Forest Dale Avenue
42507-660,Asteraceae,"Partially resolved traumatic cataract, unspecified eye",Adv eff GI agent NOS,Ibuprofen,Denny Cawson,(441) 2934078,233 Hallows Junction
0378-7097,Poaceae,"Nondisplaced comminuted fracture of shaft of left fibula, subsequent encounter for closed fracture with malunion","Aggres periodontitis,loc",Ciprofloxacin,Jordan Chaves,(861) 7995391,889 Garrison Court
13537-441,Orchidaceae,Open bite of hand,Vaccin for mumps,esika MEN Control Fresh Deodorant and Antiperspirant,Jase Steffan,(390) 6428046,736 New Castle Point
54868-4742,Asteraceae,Contusion of unspecified back wall of thorax,Dyshidrosis,KARIVA,Ripley Matanin,(961) 5289380,0 Bay Way
0093-5112,Malvaceae,"Other superficial bite of left middle finger, sequela",Acc poison-fusel oil,Diltiazem Hydrochloride,Elnore Le Houx,(518) 6076934,1 Crownhardt Plaza
65044-1911,Andreaeaceae,"Stress fracture, unspecified foot, subsequent encounter for fracture with nonunion",Lte ef-mplga low lmb NOS,"Pollens - Trees, Mulberry Mix",Fonsie Norcross,(550) 5062453,80353 Rockefeller Crossing
49358-548,Encalyptaceae,"Displaced comminuted fracture of shaft of humerus, unspecified arm, initial encounter for open fracture",Gastroduodenal dis NOS,MDSOLARSCIENCES,Deedee Llywarch,(336) 1166043,82 Bayside Pass
51346-186,Micareaceae,"Drowning and submersion due to other accident to sailboat, initial encounter",Perineocele,THE FIRST CLEAR TONER,Davie Claughton,(518) 2445249,54 Beilfuss Hill
57955-6001,Arecaceae,"Torus fracture of lower end of right tibia, subsequent encounter for fracture with malunion",Malig neo gallbladder,Indoor Air Pollution Detox,Paulie Hebden,(249) 9642285,6536 Kedzie Circle
46122-255,Rubiaceae,"Collapsed vertebra, not elsewhere classified, occipito-atlanto-axial region, initial encounter for fracture",Adjust dis w anxiety/dep,good neighbor pharmacy nicotine,Adolf Paschke,(301) 3261924,8 Calypso Point
55910-668,Dipsacaceae,"Infection and inflammatory reaction due to internal fixation device of left tibia, sequela",Pulmon TB NEC-histo dx,dg health cough,Dallas Atterbury,(310) 9016693,08306 Pierstorff Drive
55154-5599,Brassicaceae,"Frostbite with tissue necrosis of left hand, sequela","Amput abv elbow, unilat",Dicyclomine Hydrochloride,Butch Fairfull,(711) 6887666,68561 Dennis Road
63629-1462,Scrophulariaceae,"Person on outside of snowmobile injured in traffic accident, sequela",Mosquito-borne hem fever,Metoprolol Tartrate,Melissa Ammer,(366) 6397970,85 Kensington Alley
0078-0347,Asteraceae,"Unspecified injury of shoulder and upper arm, unspecified arm",Adv eff benzodiaz tranq,Desferal,Free Rao,(404) 3282834,77 Karstens Parkway
0363-0165,Brassicaceae,"Injury of muscle, fascia and tendon at forearm level",Superf inj leg NEC-infec,Wal itin D,Hogan Dare,(788) 9933919,83 Anthes Court
68745-1155,Rosaceae,"Person injured while boarding or alighting from special construction vehicle, sequela",Foreign body finger-inf,MAT LUMIERE,Dollie Setter,(292) 7293899,28 Main Pass
43857-0325,Lamiaceae,"Hit by object due to uncontrolled fire, not in building or structure",Ob perineal hematom-unsp,CVTOX,Vivyanne Heaker,(583) 4054037,2 Jana Lane
30142-345,Melastomataceae,"Toxic effect of other seafood, intentional self-harm, initial encounter",Abrasion-pulp,severe sinus congestion,Dan Essery,(501) 5977157,2192 Kinsman Road
29033-012,Amblystegiaceae,"Unspecified injury of flexor muscle, fascia and tendon of right middle finger at wrist and hand level",Rough housing/horseplay,Piroxicam,Garrik Jerram,(299) 7001773,15684 Independence Alley
62569-000,Lamiaceae,"Primary osteoarthritis, left hand",Ben hy ht/kd st V w/o hf,Genlabs Strike Bac Antibacterial Handsoap,Noel Rotte,(143) 7666659,22 Pierstorff Crossing
60681-3006,Linaceae,"Activity, horseback riding",Mv-train coll-st car,Pleo Reb,Idalina Dallemore,(463) 6515497,01408 Chive Court
0093-1049,Sapotaceae,"Military operations involving fragments of improvised explosive device [IED], civilian, subsequent encounter",Bacteriuria preg-unspec,Metformin Hydrochloride,Allegra Easbie,(640) 6446097,29619 Debs Park
63868-143,Rosaceae,Nephrotic syndrome with minor glomerular abnormality,Tox w old hyper-antepart,Pseudoephedrine Hydrochloride,Glenna Jaynes,(326) 7488354,2424 Mesta Avenue
50436-6755,Ranunculaceae,"Disorders of muscle in diseases classified elsewhere, unspecified thigh",Opn skul vlt fx-brf coma,Tizanidine,Brnaba Redrup,(187) 2067664,2 Ruskin Court
36800-224,Fabaceae,"Crushing injury of right thumb, sequela",Paracoccidioidomycosis,topcare anti diarrheal,Hymie Felmingham,(606) 1455843,769 Sachtjen Trail
44911-0039,Liliaceae,"Heat exposure on board other powered watercraft, sequela",Anxiety disorder oth dis,Liquid B,Grange Matveiko,(501) 3064085,39247 Warner Lane
46708-113,Acanthaceae,"Contusion of unspecified intra-abdominal organ, subsequent encounter",Undet circ-fall residenc,Metoprolol Tartrate,Evangeline Stille,(131) 2694858,502 Rusk Terrace
67296-0378,Asteraceae,Acute laryngotracheitis,Chronic nephritis NEC,Propoxyphene Napsylate and Acetaminophen,Balduin Fairbourne,(608) 7780515,11031 Welch Lane
56062-590,Liliaceae,Displaced fracture of navicular [scaphoid] of right foot,Pulm embol NOS-delivered,pain relief,Darice Dougan,(728) 7498772,28 Macpherson Hill
54868-5578,Orchidaceae,"Unspecified traumatic nondisplaced spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with nonunion",Poison-typhus vaccine,Pravastatin Sodium,Emery Kuna,(416) 6741456,2 2nd Crossing
57955-5956,Brassicaceae,"Mycosis fungoides, intrapelvic lymph nodes",Constipation NEC,Mental Alertness for Seniors,Otho Garriock,(635) 9971089,6913 Debs Park
49999-035,Asteraceae,"Unspecified trochanteric fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",Oth specified exam,Hydroxyzine Hydrochloride,Durant Bontoft,(764) 2302592,32 Mariners Cove Park
16714-532,Diapensiaceae,"Strain of flexor muscle, fascia and tendon of right ring finger at wrist and hand level, subsequent encounter",Mal neo islet langerhans,Sumatriptan,Iosep Gear,(290) 4258849,99620 Barnett Plaza
62175-114,Hydrophyllaceae,"Pathological fracture in neoplastic disease, right ulna, subsequent encounter for fracture with routine healing",Adult emotnl/psych abuse,Omeprazole,Benedicta Bretelle,(788) 7957838,0 Florence Lane
10812-153,Rosaceae,"Arthritis due to other bacteria, left hip",Recur bil ing hern-obstr,Neutrogena Rapid Clear Acne Defense Face,Yuri Canizares,(638) 9675940,72 Beilfuss Circle
44781-210,Poaceae,Hypersomnia not due to a substance or known physiological condition,Abo isoimmunizat-antepar,BIOWHITE RESILIENT MASSAGE,Odessa Lammert,(299) 3139797,685 Scofield Pass
63550-194,Asteraceae,Drowning and submersion due to falling or jumping from crushed (nonpowered) inflatable craft,Hyperemia of conjunctiva,BLEMISH,Honoria Hockell,(535) 5425532,9 Golf Trail
54868-5419,Aquifoliaceae,Nondisplaced fracture of medial phalanx of left middle finger,Toxic eff sulfur dioxide,Allegra--D 24 Hour,Gunar Werendell,(167) 9059201,2697 Buell Terrace
55154-1484,Lycopodiaceae,"Secondary osteoarthritis, right ankle and foot",Inflammation eyelid NOS,Carbidopa and Levodopa,Hewie Stones,(620) 7122050,7 Bowman Park
64725-0747,Poaceae,"Stress fracture, unspecified ulna and radius, initial encounter for fracture",Inj pulmonary vessel NOS,DULOXETINE,Tamqrah Sex,(410) 9503334,58170 Crescent Oaks Avenue
0781-2264,Asteraceae,"Motorcycle passenger injured in collision with unspecified motor vehicles in nontraffic accident, initial encounter",Cl skl fx NEC/cerebr lac,Atomoxetine hydrochloride,Genvieve Grindall,(527) 6584306,63418 Cascade Center
66184-100,Asteraceae,"Displaced fracture of proximal phalanx of right ring finger, subsequent encounter for fracture with routine healing",Sweating fever,Adidas,Ciel Bruun,(476) 6800930,40049 5th Terrace
59779-178,Seligeriaceae,"Person on outside of pick-up truck or van injured in collision with heavy transport vehicle or bus in traffic accident, subsequent encounter",Trnsplnt orgn rem status,Undecylenic Acid Liquid,Dorette Lardnar,(248) 7918068,303 Rowland Street
52343-040,Fabaceae,"Nondisplaced fracture of posterior process of unspecified talus, subsequent encounter for fracture with routine healing",Abnorm echoencephalogram,Olanzapine,Dahlia Balcers,(216) 6375840,372 Hintze Crossing
69072-010,Rubiaceae,"Poisoning by iron and its compounds, intentional self-harm, initial encounter",Cervical stump prolapse,MOIST MOISTURE BB,Jeddy Tuppeny,(538) 6921342,604 3rd Place
24909-127,Caryophyllaceae,"Other accident with motorized mobility scooter, sequela",Urethritis NEC,Terrasil Wart Removal,Ryann Aujean,(538) 6257676,94 Del Sol Pass
21695-283,Liliaceae,"Ganglion, left ankle and foot",Chr ischemic hrt dis NEC,temazepam,Melinde Aymerich,(789) 6387701,573 Forster Crossing
69097-152,Potamogetonaceae,Nondisplaced fracture of anterior process of right calcaneus,Pulmonary TB NEC-unspec,LAMOTRIGINE,Miof mela Aldcorn,(171) 9496156,918 Park Meadow Street
0143-9888,Asteraceae,"Malignant neoplasm of brain, unspecified",Open wound of back,Amoxicillin,Christyna Kubiak,(833) 4461882,908 Everett Crossing
0069-3241,Poaceae,"Laceration of other extensor muscle, fascia and tendon at forearm level, right arm, initial encounter",Torus fx radius-cl/alone,Ciprofloxacin,Joelie Trigg,(279) 4897635,93 Schlimgen Alley
51060-030,Hydrangeaceae,"Displaced comminuted fracture of shaft of ulna, right arm, initial encounter for closed fracture",Chronic fatigue syndrome,Maracuja Miracle Foundation 12-Hour Foundation Broad Spectrum SPF 15 Sunscreen,Clevey Palatini,(886) 1686296,2 Corben Parkway
55154-5051,Poaceae,Primary hyperparathyroidism,"Actv Meniere,cochlvestib",Lisinopril,Beatrix Yegorev,(747) 7136942,09 Badeau Plaza
49643-422,Onagraceae,"Infection of nipple associated with pregnancy, unspecified trimester","AMI anterolateral, init",Corn Pollen Pollen,Sutton De la Harpe,(917) 3502153,86 Drewry Pass
55289-277,Solanaceae,Contact with mining and earth-drilling machinery,Disloc radiocarpal-open,Effexor,Merissa Chinery,(131) 3693071,70 Eagan Trail
59779-915,Geraniaceae,Superficial foreign body of right little finger,Gonococcal keratosis,Extra Strength Headache Relief,Ruby Higgan,(305) 2683196,6727 Upham Terrace
68428-106,Valerianaceae,"Toxic effect of nitroglycerin and other nitric acids and esters, undetermined, sequela",Renal vascular disorder,Lachesis Mutus Kit Refill,Birgit Kneesha,(419) 5788298,5151 Mayer Hill
51442-531,Onagraceae,Hematocolpos,Rib & sternum anomal NEC,Colgate,Jarret Itzhak,(589) 4109287,1297 Heffernan Place
55154-5398,Araucariaceae,Pica of infancy and childhood,Paran schizo-chr/exacerb,Meloxicam,Valentine Ingraham,(693) 5892129,7 Karstens Trail
15499-1234,Cyperaceae,"Nondisplaced fracture of neck of third metacarpal bone, left hand, initial encounter for open fracture",Visual disturbance NOS,Oxygen,Roby Fife,(875) 8473422,3 Cody Place
13537-363,Brassicaceae,"Calcium deposit in bursa, unspecified knee",Fx femur NOS-open,ESIKA,Nancy Newhouse,(141) 4008038,35 Buell Alley
57896-624,Chenopodiaceae,"Other meniscus derangements, unspecified medial meniscus, unspecified knee",Heart complic-postpart,GERI-LANTA SUPREME CHERRY,Rayner Lawley,(945) 6662126,5 Waubesa Crossing
50804-667,Xyridaceae,"Unspecified fracture of first metacarpal bone, left hand",Poison-oxazolidine deriv,Citroma,Markus Gill,(474) 4732165,5 Artisan Park
